based,night,rights,light,sky
torque,sho,shifter,clutch,car
matter,mph,blah,mustang,diesels
drive,lights,used,service,oil
satellite,oort,point,system,writes
even,extra,cost,make,don
back,george,people,moon,bill
sci,world,long,nasa,space
washington,apr,article,writes,edu
temperature,zoo,spencer,toronto,henry
spacecraft,information,internet,mars,science
redesign,option,shuttle,station,launch
steering,turbo,such,power,engine
shuttle,pat,solar,hst,mission
time,article,day,etc,large
nice,probe,driving,ford,car
two,book,price,want,car
geico,good,article,edu,insurance
incoming,ics,uci,gif,edu
toyota,buy,manual,small,cars
